,Type,Price,Location,Baths,Area,Beds
11680,House,PKR3.4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11681,House,PKR2.25 Lakh,"DHA Defence, Lahore, Punjab",-,1 Kanal,-
11682,House,PKR1.68 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,-
11683,Upper Portion,PKR1 Lakh,"Gulberg, Lahore, Punjab",3,1 Kanal,2
11684,House,PKR2.15 Lakh,"DHA Defence, Lahore, Punjab",6,10 Marla,5
11685,House,PKR38 Thousand,"New Lahore City, Lahore, Punjab",4,5 Marla,4
11686,House,PKR48 Thousand,"State Life Housing Society, Lahore, Punjab",4,5 Marla,3
11687,House,PKR38 Thousand,"New Lahore City, Lahore, Punjab",4,5 Marla,4
11688,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
11689,Lower Portion,PKR61 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
11690,House,PKR72 Thousand,"Cavalry Ground, Lahore, Punjab",5,5 Marla,4
11691,Lower Portion,PKR40 Thousand,"LDA Avenue, Lahore, Punjab",3,10 Marla,2
11692,Lower Portion,PKR55 Thousand,"Bahria Orchard, Lahore, Punjab",3,10 Marla,2
11693,Upper Portion,PKR25 Thousand,"Bahria Orchard, Lahore, Punjab",3,5 Marla,2
11694,House,PKR45 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,4
11695,Upper Portion,PKR51 Thousand,"Bahria Orchard, Lahore, Punjab",4,15 Marla,3
11696,House,PKR47 Thousand,"Bahria Orchard, Lahore, Punjab",5,5 Marla,4
11697,Lower Portion,PKR75 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
11698,House,PKR38 Thousand,"Raiwind Road, Lahore, Punjab",4,3 Marla,3
11699,Flat,PKR50 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
11700,Upper Portion,PKR1 Lakh,"Gulberg, Lahore, Punjab",3,1 Kanal,2
11701,House,PKR2.15 Lakh,"DHA Defence, Lahore, Punjab",6,10 Marla,5
11702,House,PKR38 Thousand,"New Lahore City, Lahore, Punjab",4,5 Marla,4
11703,House,PKR48 Thousand,"State Life Housing Society, Lahore, Punjab",4,5 Marla,3
11704,House,PKR38 Thousand,"New Lahore City, Lahore, Punjab",4,5 Marla,4
11705,House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
11706,Lower Portion,PKR61 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
11707,House,PKR72 Thousand,"Cavalry Ground, Lahore, Punjab",5,5 Marla,4
11708,Lower Portion,PKR40 Thousand,"LDA Avenue, Lahore, Punjab",3,10 Marla,2
11709,Lower Portion,PKR55 Thousand,"Bahria Orchard, Lahore, Punjab",3,10 Marla,2
11710,Upper Portion,PKR25 Thousand,"Bahria Orchard, Lahore, Punjab",3,5 Marla,2
11711,House,PKR45 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,4
11712,Upper Portion,PKR51 Thousand,"Bahria Orchard, Lahore, Punjab",4,15 Marla,3
11713,House,PKR47 Thousand,"Bahria Orchard, Lahore, Punjab",5,5 Marla,4
11714,Lower Portion,PKR75 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
11715,Flat,PKR50 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
11716,Flat,PKR36 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
11717,Upper Portion,PKR32 Thousand,"DHA 11 Rahbar, Lahore, Punjab",2,5 Marla,2
11718,House,PKR2.55 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11719,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11720,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11721,House,PKR2.45 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11722,Flat,PKR37 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",2,5 Marla,2
11723,Upper Portion,PKR50 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",3,10 Marla,2
11724,House,PKR90 Thousand,"Paragon City, Lahore, Punjab",4,8 Marla,4
11725,House,PKR90 Thousand,"Paragon City, Lahore, Punjab",4,8 Marla,4
11726,Flat,PKR22 Thousand,"Main Canal Bank Road, Lahore, Punjab",1,1.3 Marla,-
11727,Flat,PKR32 Thousand,"Main Canal Bank Road, Lahore, Punjab",1,2.7 Marla,1
11728,Flat,PKR42 Thousand,"Main Canal Bank Road, Lahore, Punjab",2,4.2 Marla,2
11729,Flat,PKR60 Thousand,"Main Canal Bank Road, Lahore, Punjab",1,3.2 Marla,1
11730,Upper Portion,PKR25 Thousand,"Salli Town, Lahore, Punjab",2,5 Marla,2
11731,Lower Portion,PKR35 Thousand,"Salli Town, Lahore, Punjab",2,10 Marla,2
11732,Flat,PKR26 Thousand,"Askari, Lahore, Punjab",2,5 Marla,2
11733,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
11734,Upper Portion,PKR60 Thousand,"Raiwind Road, Lahore, Punjab",2,1 Kanal,3
11735,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
11736,House,PKR1.13 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
11737,Upper Portion,PKR65 Thousand,"GOR, Lahore, Punjab",3,12 Marla,3
11738,Upper Portion,PKR35 Thousand,"Nawab Town, Lahore, Punjab",3,5 Marla,2
11739,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
11740,Upper Portion,PKR45 Thousand,"Nawab Town, Lahore, Punjab",3,10 Marla,2
11741,Flat,PKR27 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
11742,Flat,PKR30 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
11743,House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
11744,House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11745,Lower Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11746,Lower Portion,PKR55 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,8 Marla,2
11747,Lower Portion,PKR1.35 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11748,Upper Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",2,5 Marla,2
11749,Flat,PKR1.2 Lakh,"Askari, Lahore, Punjab",3,10 Marla,3
11750,House,PKR1.2 Lakh,"Askari, Lahore, Punjab",3,10 Marla,3
11751,House,PKR1.2 Lakh,"Askari, Lahore, Punjab",5,12 Marla,4
11752,House,PKR1.2 Lakh,"Askari, Lahore, Punjab",5,12 Marla,4
11753,House,PKR1 Lakh,"Askari, Lahore, Punjab",4,10 Marla,3
11754,Lower Portion,PKR45 Thousand,"Johar Town, Lahore, Punjab",1,7 Marla,1
11755,Flat,PKR25 Thousand,"Bedian Road, Lahore, Punjab",1,3 Marla,1
11756,Upper Portion,PKR60 Thousand,"Johar Town, Lahore, Punjab",3,14 Marla,3
11757,Flat,PKR1.1 Lakh,"Askari, Lahore, Punjab",3,10 Marla,3
11758,Flat,PKR1.1 Lakh,"Askari, Lahore, Punjab",3,10 Marla,3
11759,House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
11760,House,PKR50 Thousand,"Gosha-e-Ahbab, Lahore, Punjab",4,3 Marla,4
11761,Flat,PKR70 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11762,Flat,PKR26 Thousand,"Askari, Lahore, Punjab",2,5 Marla,2
11763,House,PKR1.1 Lakh,"Gulshan-e-Ravi, Lahore, Punjab",5,10 Marla,5
11764,Upper Portion,PKR85 Thousand,"PCSIR Housing Scheme, Lahore, Punjab",4,1 Kanal,3
11765,House,PKR90 Thousand,"Bahria Orchard, Lahore, Punjab",6,10 Marla,5
11766,House,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
11767,Flat,PKR20 Thousand,"DHA Defence, Lahore, Punjab",4,8.7 Marla,3
11768,House,PKR60 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
11769,House,PKR1.3 Lakh,"Paragon City, Lahore, Punjab",6,10 Marla,5
11770,Upper Portion,PKR35 Thousand,"Bahria Orchard, Lahore, Punjab",3,8 Marla,3
11771,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11772,House,PKR20 Thousand,"Bahria Orchard, Lahore, Punjab",1,5 Marla,2
11773,House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
11774,Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11775,Flat,PKR80 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
11776,Lower Portion,PKR27 Thousand,"Khayaban-e-Amin, Lahore, Punjab",2,5 Marla,2
11777,House,PKR55 Thousand,"Khayaban-e-Amin, Lahore, Punjab",3,5 Marla,3
11778,House,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
11779,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11780,House,PKR3.75 Lakh,"Gulberg, Lahore, Punjab",6,1 Kanal,5
11781,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11782,Flat,PKR65 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",1,2.9 Marla,2
11783,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11784,House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
11785,Upper Portion,PKR68 Thousand,"Cantt, Lahore, Punjab",4,12 Marla,4
11786,House,PKR1 Lakh,"Johar Town, Lahore, Punjab",5,8 Marla,5
11787,House,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
11788,Upper Portion,PKR50 Thousand,"Cantt, Lahore, Punjab",2,10 Marla,2
11789,Flat,PKR33 Thousand,"Bahria Orchard, Lahore, Punjab",1,5 Marla,2
11790,Upper Portion,PKR95 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,3
11791,House,PKR90 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
11792,House,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
11793,Room,PKR13 Thousand,"DHA Defence, Lahore, Punjab",-,1 Kanal,-
11794,Lower Portion,PKR50 Thousand,"DHA Defence, Lahore, Punjab",3,7 Marla,2
11795,House,PKR95 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
11796,House,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,6 Marla,3
11797,Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11798,House,PKR3.5 Lakh,"Gulberg, Lahore, Punjab",-,2 Kanal,-
11799,House,PKR75 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
11800,Upper Portion,PKR45 Thousand,"Cantt, Lahore, Punjab",3,8 Marla,2
11801,House,PKR50 Thousand,"Park View City, Lahore, Punjab",2,10 Marla,2
11802,House,PKR1.05 Lakh,"Pak Arab Housing Society, Lahore, Punjab",5,10 Marla,4
11803,House,PKR50 Thousand,"Bahria Orchard, Lahore, Punjab",2,5 Marla,3
11804,House,PKR1 Lakh,"Bahria Orchard, Lahore, Punjab",3,10 Marla,4
11805,House,PKR85 Thousand,"Bahria Orchard, Lahore, Punjab",4,10 Marla,4
11806,House,PKR50 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,3
11807,Lower Portion,PKR65 Thousand,"State Life Housing Society, Lahore, Punjab",3,1 Kanal,3
11808,Upper Portion,PKR65 Thousand,"Iqbal Avenue, Lahore, Punjab",4,1 Kanal,3
11809,Lower Portion,PKR40 Thousand,"Iqbal Avenue, Lahore, Punjab",3,10 Marla,2
11810,Upper Portion,PKR70 Thousand,"State Life Housing Society, Lahore, Punjab",3,1 Kanal,3
11811,Lower Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
11812,House,PKR70 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",4,5 Marla,3
11813,Upper Portion,PKR70 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",3,1 Kanal,3
11814,House,PKR29 Thousand,"Bahria Orchard, Lahore, Punjab",1,5 Marla,2
11815,House,PKR3 Lakh,"Garden Town, Lahore, Punjab",5,1 Kanal,5
11816,Upper Portion,PKR80 Thousand,"Garden Town, Lahore, Punjab",2,1 Kanal,2
11817,Upper Portion,PKR65 Thousand,"Garden Town, Lahore, Punjab",3,2 Kanal,3
11818,Upper Portion,PKR75 Thousand,"Model Town, Lahore, Punjab",2,1 Kanal,2
11819,House,PKR5 Lakh,"Township, Lahore, Punjab",6,2.1 Kanal,5
11820,Flat,PKR80 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
11821,Flat,PKR85 Thousand,"Askari, Lahore, Punjab",5,10 Marla,3
11822,Flat,PKR80 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11823,Flat,PKR70 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11824,Flat,PKR88 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11825,House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
11826,House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
11827,House,PKR1.15 Lakh,"Johar Town, Lahore, Punjab",4,7 Marla,4
11828,House,PKR1.3 Lakh,"Model Town, Lahore, Punjab",5,10 Marla,4
11829,Upper Portion,PKR78 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11830,House,PKR1.55 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
11831,House,PKR1.75 Lakh,"Green City, Lahore, Punjab",6,1 Kanal,5
11832,House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
11833,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11834,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11835,Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11836,House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
11837,Farm House,PKR70 Thousand,"Bedian Road, Lahore, Punjab",4,16 Kanal,2
11838,Flat,PKR75 Thousand,"Rehman Gardens, Lahore, Punjab",3,10 Marla,3
11839,Flat,PKR26 Thousand,"Askari, Lahore, Punjab",2,5 Marla,2
11840,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11841,House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
11842,House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
11843,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11844,House,PKR45 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,3 Marla,3
11845,House,PKR45 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,3 Marla,3
11846,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
11847,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11848,Upper Portion,PKR74 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11849,Upper Portion,PKR45 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11850,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11851,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11852,Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11853,House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
11854,Farm House,PKR70 Thousand,"Bedian Road, Lahore, Punjab",4,16 Kanal,2
11855,Flat,PKR75 Thousand,"Rehman Gardens, Lahore, Punjab",3,10 Marla,3
11856,Flat,PKR26 Thousand,"Askari, Lahore, Punjab",2,5 Marla,2
11857,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11858,House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
11859,House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
11860,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11861,House,PKR45 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,3 Marla,3
11862,House,PKR45 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,3 Marla,3
11863,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
11864,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11865,Upper Portion,PKR74 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11866,Upper Portion,PKR45 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11867,Upper Portion,PKR55 Thousand,"State Life Housing Society, Lahore, Punjab",3,10 Marla,3
11868,House,PKR90 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11869,Flat,PKR80 Thousand,"Askari, Lahore, Punjab",4,13 Marla,4
11870,House,PKR5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11871,House,PKR50 Thousand,"Garrison Homes, Lahore, Punjab",-,5 Marla,-
11872,Flat,PKR2.35 Lakh,"Gulberg, Lahore, Punjab",2,6.7 Marla,2
11873,Lower Portion,PKR40 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
11874,Upper Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
11875,Lower Portion,PKR20 Thousand,"Formanites Housing Scheme, Lahore, Punjab",1,3 Marla,1
11876,House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,7 Marla,3
11877,Lower Portion,PKR22 Thousand,"Green Town Sector D2, Lahore, Punjab",1,5 Marla,2
11878,Upper Portion,PKR45 Thousand,"Township, Lahore, Punjab",2,10 Marla,2
11879,House,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
11880,Lower Portion,PKR42 Thousand,"Cantt, Lahore, Punjab",2,6 Marla,2
11881,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
11882,Flat,PKR15.5 Thousand,"Muslim Town, Lahore, Punjab",1,0.9 Marla,1
11883,Room,PKR10 Thousand,"Ichhra, Lahore, Punjab",1,0.4 Marla,1
11884,Room,PKR20 Thousand,"Muslim Town, Lahore, Punjab",1,0.9 Marla,1
11885,Room,PKR17 Thousand,"Wahdat Road, Lahore, Punjab",1,0.9 Marla,1
11886,Room,PKR17 Thousand,"Muslim Town, Lahore, Punjab",-,0.9 Marla,-
11887,Upper Portion,PKR1.8 Lakh,"Sui Gas Housing Society, Lahore, Punjab",3,1 Kanal,3
11888,House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
11889,House,PKR85 Thousand,"Harbanspura Road, Lahore, Punjab",-,5 Marla,-
11890,Flat,PKR90 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11891,Flat,PKR90 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11892,Flat,PKR80 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11893,Flat,PKR75 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11894,Flat,PKR85 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11895,Flat,PKR80 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11896,Flat,PKR90 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
11897,Upper Portion,PKR95 Thousand,"Bahria Town, Lahore, Punjab",3,1 Kanal,4
11898,Flat,PKR30 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
11899,Flat,PKR35 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
11900,Flat,PKR57 Thousand,"Bahria Town, Lahore, Punjab",2,4 Marla,2
11901,Upper Portion,PKR42 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
11902,Upper Portion,PKR38 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
11903,Upper Portion,PKR55 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
11904,House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
11905,House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11906,Lower Portion,PKR35 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,10 Marla,3
11907,Flat,PKR25 Thousand,"Formanites Housing Scheme, Lahore, Punjab",2,4 Marla,2
11908,Upper Portion,PKR22 Thousand,"Formanites Housing Scheme, Lahore, Punjab",2,3 Marla,2
11909,Lower Portion,PKR50 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,10 Marla,3
11910,Upper Portion,PKR55 Thousand,"State Life Housing Society, Lahore, Punjab",2,10 Marla,2
11911,Upper Portion,PKR35 Thousand,"State Life Housing Society, Lahore, Punjab",2,5 Marla,2
11912,Flat,PKR35 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,5 Marla,3
11913,House,PKR70 Thousand,"Formanites Housing Scheme, Lahore, Punjab",4,5 Marla,4
11914,Upper Portion,PKR30 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,6 Marla,3
11915,Upper Portion,PKR33 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,5 Marla,3
11916,House,PKR35 Thousand,"Cantt, Lahore, Punjab",3,3 Marla,3
11917,Lower Portion,PKR50 Thousand,"PAF Colony, Lahore, Punjab",2,10 Marla,2
11918,Lower Portion,PKR44 Thousand,"PAF Colony, Lahore, Punjab",2,8 Marla,2
11919,House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3
11920,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",2,4.9 Marla,2
11921,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11922,House,PKR40 Thousand,"Cavalry Ground, Lahore, Punjab",4,3 Marla,3
11923,House,PKR2.5 Lakh,"OPF Housing Scheme, Lahore, Punjab",6,1 Kanal,7
11924,Upper Portion,PKR65 Thousand,"Raiwind Road, Lahore, Punjab",3,12 Marla,3
11925,Upper Portion,PKR65 Thousand,"Raiwind Road, Lahore, Punjab",3,12 Marla,3
11926,House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
11927,House,PKR70 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,5 Marla,3
11928,House,PKR1.2 Lakh,"Pine Villas, Lahore, Punjab",5,10 Marla,5
11929,House,PKR1.6 Lakh,"Cantt, Lahore, Punjab",4,14 Marla,4
11930,House,PKR45 Thousand,"Bahria Orchard, Lahore, Punjab",3,5 Marla,3
11931,House,PKR50 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,3
11932,House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,4
11933,Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11934,House,PKR68 Thousand,"Allama Iqbal Town, Lahore, Punjab",3,5 Marla,4
11935,House,PKR75 Thousand,"Cavalry Extension, Lahore, Punjab",3,5 Marla,3
11936,House,PKR1 Lakh,"Cantt, Lahore, Punjab",4,10 Marla,4
11937,House,PKR65 Thousand,"Cantt, Lahore, Punjab",3,5 Marla,3
11938,Upper Portion,PKR45 Thousand,"Cantt, Lahore, Punjab",2,10 Marla,2
11939,Upper Portion,PKR55 Thousand,"Cantt, Lahore, Punjab",3,1 Kanal,3
11940,Upper Portion,PKR70 Thousand,"Gulberg, Lahore, Punjab",3,14 Marla,3
11941,House,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
11942,Upper Portion,PKR35 Thousand,"Cantt, Lahore, Punjab",2,5 Marla,2
11943,Upper Portion,PKR85 Thousand,"Gulberg, Lahore, Punjab",3,15 Marla,3
11944,Upper Portion,PKR55 Thousand,"Gulberg, Lahore, Punjab",2,10 Marla,2
11945,Room,PKR35 Thousand,"DHA Defence, Lahore, Punjab",-,2 Kanal,-
11946,House,PKR64 Thousand,"Divine Gardens, Lahore, Punjab",3,6 Marla,3
11947,House,PKR75 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
11948,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
11949,Upper Portion,PKR67 Thousand,"OPF Housing Scheme, Lahore, Punjab",3,1 Kanal,3
11950,Lower Portion,PKR60 Thousand,"Bankers Co-operative Housing Society, Lahore, Punjab",2,10 Marla,2
11951,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
11952,House,PKR60 Thousand,"Formanites Housing Scheme, Lahore, Punjab",4,5 Marla,3
11953,Flat,PKR65 Thousand,"Shanghai Road, Lahore, Punjab",2,5.1 Marla,2
11954,Upper Portion,PKR32 Thousand,"DHA Defence, Lahore, Punjab",1,1 Kanal,1
11955,Flat,PKR1.7 Lakh,"Gulberg, Lahore, Punjab",2,5.3 Marla,2
11956,Flat,PKR1.25 Lakh,"Gulberg, Lahore, Punjab",1,4.4 Marla,1
11957,Flat,PKR2.6 Lakh,"Gulberg, Lahore, Punjab",-,6.4 Marla,3
11958,House,PKR2.5 Lakh,"Gulberg, Lahore, Punjab",5,10 Marla,4
11959,House,PKR4.5 Lakh,"Gulberg, Lahore, Punjab",6,1 Kanal,5
11960,Flat,PKR2.65 Lakh,"Gulberg, Lahore, Punjab",4,10 Marla,3
11961,Upper Portion,PKR42 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
11962,Flat,PKR43 Thousand,"Bahria Town, Lahore, Punjab",2,4 Marla,2
11963,House,PKR60 Thousand,"Bahria Nasheman, Lahore, Punjab",4,8 Marla,4
11964,House,PKR40 Thousand,"Bahria Nasheman, Lahore, Punjab",4,5 Marla,3
11965,Flat,PKR25 Thousand,"Johar Town, Lahore, Punjab",1,1.6 Marla,1
11966,Flat,PKR28 Thousand,"Johar Town, Lahore, Punjab",1,1.8 Marla,1
11967,Flat,PKR30 Thousand,"Johar Town, Lahore, Punjab",1,1.4 Marla,1
11968,Lower Portion,PKR40 Thousand,"Johar Town, Lahore, Punjab",1,5 Marla,1
11969,Flat,PKR32 Thousand,"Johar Town, Lahore, Punjab",1,1.8 Marla,1
11970,Flat,PKR22 Thousand,"Johar Town, Lahore, Punjab",1,1.8 Marla,1
11971,Flat,PKR29 Thousand,"Johar Town, Lahore, Punjab",1,1.4 Marla,1
11972,Flat,PKR23 Thousand,"Johar Town, Lahore, Punjab",1,1.4 Marla,1
11973,Flat,PKR30 Thousand,"Johar Town, Lahore, Punjab",1,1.3 Marla,1
11974,Flat,PKR16 Thousand,"Johar Town, Lahore, Punjab",1,1.3 Marla,1
11975,Flat,PKR16 Thousand,"Johar Town, Lahore, Punjab",1,1.3 Marla,1
11976,House,PKR55 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
11977,Room,PKR35 Thousand,"DHA Defence, Lahore, Punjab",1,2 Kanal,1
11978,Upper Portion,PKR45 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",-,-,-
11979,Flat,PKR25 Thousand,"Bedian Road, Lahore, Punjab",1,3 Marla,1
